Name,Version,License,Download URL,Copyright,,,,,
@kui-shell/core,2.35.0-dev.3127.49,Apache-2.0,https://github.com/IBM/kui,,,,,,
@kui-shell/core,2.35.0-dev.3282.49,Apache-2.0,https://github.com/IBM/kui,,,,,,
@kui-shell/plugin-bash-like,0.24.0-dev.3127.49,Apache-2.0,https://github.com/IBM/kui,,,,,,
@kui-shell/plugin-bash-like,0.24.0-dev.3282.49,Apache-2.0,https://github.com/IBM/kui,,,,,,
@kui-shell/plugin-core-support,0.35.0-dev.3282.49,Apache-2.0,https://github.com/IBM/kui,,,,,,
@kui-shell/plugin-editor,0.24.0-dev.3282.49,Apache-2.0,https://github.com/IBM/kui,,,,,,
@kui-shell/plugin-k8s,0.35.0-dev.3282.49,Apache-2.0,https://github.com/IBM/kui,,,,,,
@kui-shell/plugin-k8s,0.35.0-dev.3312.49,Apache-2.0,https://github.com/IBM/kui,,,,,,
@kui-shell/plugin-proxy-support,0.35.0-dev.3282.49,Apache-2.0,https://github.com/IBM/kui,,,,,,
@kui-shell/proxy,0.35.0-dev.3282.49,Apache-2.0,https://github.com/IBM/kui,,,,,,
@kui-shell/proxy-webapp,0.0.1,Apache-2.0,https://github.com/IBM/kui,* Copyright 2019 IBM Corporation,,,,,
@kui-shell/search-kui-plugin,0.0.0-semantically-released,ISC,https://github.com/IBM/kui,* Copyright 2019 IBM Corporation,,,,,
@kui-shell/webpack,0.1.0-dev.3282.49,Apache-2.0,https://github.com/IBM/kui,,,,,,
@types/glob,7.1.1,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped,Copyright (c) Microsoft Corporation. All rights reserved.,,,,,
@types/minimatch,3.0.3,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped,Copyright (c) Microsoft Corporation. All rights reserved.,,,,,
@types/node,12.0.10,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped,Copyright (c) Microsoft Corporation. All rights reserved.,,,,,
@webassemblyjs/ast,1.7.10,MIT,https://github.com/xtuc/webassemblyjs,Copyright (c) 2018 Sven Sauleau <sven@sauleau.com>,,,,,
@webassemblyjs/ast,1.8.5,MIT,https://github.com/xtuc/webassemblyjs,Copyright (c) 2018 Sven Sauleau <sven@sauleau.com>,,,,,
@webassemblyjs/floating-point-hex-parser,1.8.5,MIT,https://github.com/xtuc/webassemblyjs,Copyright (c) 2017 Mauro Bringolf,,,,,
@webassemblyjs/helper-api-error,1.8.5,MIT,https://github.com/xtuc/webassemblyjs,Copyright (c) 2018 Sven Sauleau <sven@sauleau.com>,,,,,
@webassemblyjs/helper-buffer,1.8.5,MIT,https://github.com/xtuc/webassemblyjs,Copyright (c) 2018 Sven Sauleau <sven@sauleau.com>,,,,,
@webassemblyjs/helper-code-frame,1.7.10,MIT,https://github.com/xtuc/webassemblyjs,Copyright (c) 2018 Sven Sauleau <sven@sauleau.com>,,,,,
@webassemblyjs/helper-code-frame,1.8.5,MIT,https://github.com/xtuc/webassemblyjs,Copyright (c) 2018 Sven Sauleau <sven@sauleau.com>,,,,,
@webassemblyjs/helper-fsm,1.8.5,ISC,https://github.com/xtuc/webassemblyjs,Copyright (c) 2018 Sven Sauleau <sven@sauleau.com>,,,,,
