Name,Version
@babel/code-frame,7.0.0
@babel/highlight,7.5.0
@babel/runtime,7.4.5
@carbon/icon-helpers,0.0.1-beta.5
@carbon/icons-react,0.0.1-beta.5
@console/approved-certs,1.0.11
@console/approved-certs,1.0.13
@console/console-platform-bluemix-utils,2.0.4
@console/console-platform-cached-request,2.0.3
@console/console-platform-cfenv-wrapper,1.0.4
@console/console-platform-datacache-connect,2.1.2
@console/console-platform-express-session,2.0.12
@console/console-platform-express-session,2.1.23
@console/console-platform-key-value-store,1.0.2
@console/console-platform-log4js-utils,1.0.7
@console/console-platform-monitor-publish,1.0.5
@console/console-platform-monitor-session-store,0.0.9
@console/console-platform-nconf,1.0.1
@console/console-platform-redis,1.0.25
@icp/security-middleware,2.0.39
@icp/security-middleware,2.0.90
@icpui/icp-ui-components,1.1.8
@kubernetes/client-node,0.10.0
@kui-shell/builder,0.35.0-dev.3127.49
@kui-shell/builder,0.35.0-dev.3282.49
@kui-shell/core,2.35.0-dev.3127.49
@kui-shell/core,2.35.0-dev.3282.49
@kui-shell/plugin-bash-like,0.24.0-dev.3127.49
@kui-shell/plugin-bash-like,0.24.0-dev.3282.49
@kui-shell/plugin-core-support,0.35.0-dev.3282.49
@kui-shell/plugin-editor,0.24.0-dev.3282.49
@kui-shell/plugin-k8s,0.35.0-dev.3282.49
@kui-shell/plugin-k8s,0.35.0-dev.3312.49
@kui-shell/plugin-proxy-support,0.35.0-dev.3282.49
@kui-shell/plugin-sample,1.0.0
@kui-shell/proxy,0.35.0-dev.3282.49
@kui-shell/proxy-webapp,0.0.1
@kui-shell/search-kui-plugin,0.0.0-semantically-released
@kui-shell/webpack,0.1.0-dev.3282.49
@my-scope/package-a,0.0.0
@my-scope/package-b,0.0.0
@sailshq/lodash,3.10.3
@types/babel-types,7.0.1
@types/babel-types,7.0.4
@types/babylon,6.16.2
@types/babylon,6.16.3
@types/caseless,0.12.2
@types/events,3.0.0
@types/glob,7.1.1
@types/js-yaml,3.12.1
@types/minimatch,3.0.3
@types/mocha,5.2.7
@types/node,10.14.12
@types/node,10.14.13
@types/node,12.0.10
@types/request,2.48.2
@types/tough-cookie,2.3.5
@types/underscore,1.9.2
@types/ws,6.0.1
@webassemblyjs/ast,1.7.10
@webassemblyjs/ast,1.8.5
@webassemblyjs/floating-point-hex-parser,1.8.5
@webassemblyjs/helper-api-error,1.8.5
@webassemblyjs/helper-buffer,1.8.5
@webassemblyjs/helper-code-frame,1.7.10
@webassemblyjs/helper-code-frame,1.8.5
@webassemblyjs/helper-fsm,1.8.5
@webassemblyjs/helper-module-context,1.8.5
@webassemblyjs/helper-wasm-bytecode,1.7.10
@webassemblyjs/helper-wasm-bytecode,1.8.5
@webassemblyjs/helper-wasm-section,1.7.10
@webassemblyjs/helper-wasm-section,1.8.5
@webassemblyjs/ieee754,1.8.5
@webassemblyjs/leb128,1.8.5
@webassemblyjs/utf8,1.8.5
@webassemblyjs/wasm-edit,1.7.10
@webassemblyjs/wasm-edit,1.8.5
@webassemblyjs/wasm-gen,1.7.10
@webassemblyjs/wasm-gen,1.8.5
@webassemblyjs/wasm-opt,1.7.10
@webassemblyjs/wasm-opt,1.8.5
@webassemblyjs/wasm-parser,1.7.10
@webassemblyjs/wasm-parser,1.8.5
@webassemblyjs/wast-parser,1.7.10
@webassemblyjs/wast-parser,1.8.5
@webassemblyjs/wast-printer,1.7.10
@webassemblyjs/wast-printer,1.8.5
@xtuc/ieee754,1.2.0
@xtuc/long,4.2.2
${artifactId},1
1to2,1.0.0
abbrev,1.0.9
abbrev,1.1.0
abbrev,1.1.1
accepts,1.2.12
accepts,1.2.13
accepts,1.3.3
accepts,1.3.4
accepts,1.3.5
accepts,1.3.7
acorn,1.2.2
acorn,2.7.0
acorn,3.3.0
acorn,4.0.13
acorn,4.0.9
acorn,5.1.1
acorn,5.2.1
acorn,5.3.0
acorn,5.5.3
acorn,5.7.3
acorn,6.2.0
acorn,6.2.1
acorn-dynamic-import,4.0.0
acorn-globals,1.0.9
acorn-globals,3.1.0
acorn-jsx,5.0.1
activation,1.1
addressparser,1.0.1
after,0.8.1
after,0.8.2
agent-base,2.1.1
agent-base,4.2.0
agent-base,4.2.1
ajv,4.11.8
ajv,5.3.0
ajv,5.5.2
ajv,6.10.0
ajv,6.10.2
ajv,6.5.5
ajv,6.6.2
ajv-errors,1.0.1
ajv-keywords,3.4.1
align-text,0.1.4
alpine,3.3
alpine,3.7
alt,0.18.2
alt,0.18.4
alt,0.18.5
alt-utils,1.0.0
ambi,2.5.0
amdefine,1.0.0
amdefine,1.0.1
amqplib,0.5.2
amqplib-tutorials,0.0.1
"android-cmake""""",unknown
annotations,2.0.1
ansi-colors,3.2.3
ansi-escapes,3.2.0
ansi-html,0.0.7
ansi-regex,2.0.0
ansi-regex,2.1.1
ansi-regex,3.0.0
ansi-regex,4.1.0
ansi-styles,1.0.0
ansi-styles,2.2.1
ansi-styles,3.2.1
anymatch,1.3.2
anymatch,2.0.0
api,fd83cbc8
api,kubernetes-1.13.2
apiextensions-apiserver,05e89e26
apiextensions-apiserver,kubernetes-1.13.2
apimachinery,6dd46049
apimachinery,kubernetes-1.13.2
apiserver,e85ad7b6
app-module-path,2.2.0
append-field,0.1.0
append-field,1.0.0
appengine,12d5545d
