Name,Version,Need Pedigree Review,Reason,Review Level,License Types,Declared License,License Status,Path,Short Name,Previously Declared,Repository URL,Copyright
1to2,1.0.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,nan/tools,1to2,,,* Copyright (c) 2018 NAN contributors
@carbon/icon-helpers,10.4.0,false,Exempt - Expected license matched,2,Apache-2.0,Apache-2.0,Approved,@carbon/icon-helpers,icon-helpers,NOT FOUND,,
@carbon/icons-react,10.6.0,false,Exempt - Expected license matched,2,Apache-2.0,Apache-2.0,Approved,@carbon/icons-react,icons-react,NOT FOUND,,
@kui-shell/core,5.2.7,true,New package and not exempt,,Apache-2.0 MIT,Apache-2.0,Approved,@kui-shell/core,core,NOT FOUND,https://github.com/IBM/kui,
@kui-shell/plugin-bash-like,5.2.7,true,New package and not exempt,,Apache-2.0,Apache-2.0,Approved,@kui-shell/plugin-bash-like,plugin-bash-like,NOT FOUND,https://github.com/IBM/kui,
@kui-shell/plugin-core-support,5.2.7,true,New package and not exempt,,Apache-2.0,Apache-2.0,Approved,@kui-shell/plugin-core-support,plugin-core-support,NOT FOUND,https://github.com/IBM/kui,
@kui-shell/plugin-editor,5.2.7,true,New package and not exempt,,Apache-2.0,Apache-2.0,Approved,@kui-shell/plugin-editor,plugin-editor,NOT FOUND,https://github.com/IBM/kui,
@kui-shell/plugin-k8s,5.2.7,true,New package and not exempt,,Apache-2.0,Apache-2.0,Approved,@kui-shell/plugin-k8s,plugin-k8s,NOT FOUND,https://github.com/IBM/kui,
@kui-shell/plugin-kui-addons,0.0.0-semantically-released,true,New package and not exempt,,,,No license information available,@kui-shell/plugin-kui-addons,plugin-kui-addons,NOT FOUND,,
@kui-shell/plugin-proxy-support,5.2.7,true,New package and not exempt,,Apache-2.0,Apache-2.0,Approved,@kui-shell/plugin-proxy-support,plugin-proxy-support,NOT FOUND,https://github.com/IBM/kui,
@kui-shell/plugin-search,0.0.0-semantically-released,true,New package and not exempt,,KEYWORD UNKNOWN,ISC,Needs Review,@kui-shell/plugin-search,plugin-search,NOT FOUND,,# (c) Copyright IBM Corporation 2017. All Rights Reserved.
@kui-shell/proxy,5.2.7,true,New package and not exempt,,Apache-2.0,Apache-2.0,Approved,@kui-shell/proxy,proxy,NOT FOUND,https://github.com/IBM/kui,
@kui-shell/proxy-webapp,0.0.1,true,New package and not exempt,,Apache-2.0,Apache-2.0,Approved,@kui-shell/proxy/app,proxy-webapp,,,* Copyright 2019 IBM Corporation
@kui-shell/webpack,5.2.7,true,New package and not exempt,,Apache-2.0,Apache-2.0,Approved,@kui-shell/webpack,webpack,NOT FOUND,https://github.com/IBM/kui,
@my-scope/package-a,0.0.0,false,Previously pedigree reviewed,2,,MIT,Approved | Reference Only,resolve/test/resolver/multirepo/packages/package-a,package-a,,,
@my-scope/package-b,0.0.0,false,Previously pedigree reviewed,2,,MIT,Approved | Reference Only,resolve/test/resolver/multirepo/packages/package-b,package-b,,,
@types/cookie,0.3.3,false,Exempt - Version closely related to 0.3.2,2,MIT,MIT,Approved,@types/cookie,cookie,NOT FOUND,https://github.com/DefinitelyTyped/DefinitelyTyped,Copyright (c) Microsoft Corporation. All rights reserved.
@types/events,3.0.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,@types/events,events,,https://github.com/DefinitelyTyped/DefinitelyTyped,Copyright (c) Microsoft Corporation. All rights reserved.
@types/glob,7.1.1,false,Previously pedigree reviewed,2,MIT,MIT,Approved,@types/glob,glob,,https://github.com/DefinitelyTyped/DefinitelyTyped,Copyright (c) Microsoft Corporation. All rights reserved.
@types/marked,0.6.5,true,New package and not exempt,,MIT,MIT,Approved,@types/marked,marked,NOT FOUND,https://github.com/DefinitelyTyped/DefinitelyTyped,Copyright (c) Microsoft Corporation. All rights reserved.
@types/minimatch,3.0.3,false,Previously pedigree reviewed,2,MIT,MIT,Approved,@types/minimatch,minimatch,,https://github.com/DefinitelyTyped/DefinitelyTyped,Copyright (c) Microsoft Corporation. All rights reserved.
@types/node,12.11.7,false,Exempt - Expected license matched,2,MIT,MIT,Approved,@types/node,node,NOT FOUND,https://github.com/DefinitelyTyped/DefinitelyTyped,Copyright (c) Microsoft Corporation. All rights reserved.
@types/shelljs,0.8.5,true,New package and not exempt,,MIT,MIT,Approved,@types/shelljs,shelljs,NOT FOUND,https://github.com/DefinitelyTyped/DefinitelyTyped,Copyright (c) Microsoft Corporation. All rights reserved.
@webassemblyjs/ast,1.7.10,false,Exempt - Expected license matched,2,MIT,MIT,Approved,@webassemblyjs/ast/webassemblyjs-ast-1.7.10.tgz/webassemblyjs-ast-1.7.10.tar/package,ast,,,Copyright (c) 2018 Sven Sauleau <sven@sauleau.com>
