Name,Version
acorn,5.7.3
acorn,6.2.1
acorn-dynamic-import,4.0.0
ajv-errors,1.0.1
ajv-keywords,3.4.1
ansi-colors,3.2.3
ansi-html,0.0.7
ansi-regex,4.1.0
ansi-styles,3.2.1
anymatch,2.0.0
app-module-path,2.2.0
aproba,1.2.0
archiver,3.0.0
archiver-utils,2.1.0
are-we-there-yet,1.1.5
arr-flatten,1.1.0
array-flatten,2.1.2
array-union,1.0.2
array-uniq,1.0.3
asn1.js,4.10.1
assert,1.5.0
ast,1.7.10
ast,1.8.5
ast-types,0.9.6
async,2.6.3
async-each,1.0.3
async-limiter,1.0.0
base62,1.2.8
base64-js,1.3.0
batch,0.6.1
big.js,3.2.0
big.js,5.2.2
binary-extensions,1.13.1
bluebird,3.5.5
bn.js,4.11.8
body-parser,1.18.3
body-parser,1.19.0
bonjour,3.5.0
brorand,1.1.0
brotli,1.3.2
brotli-webpack-plugin,1.1.0
browserify-aes,1.2.0
browserify-cipher,1.0.1
browserify-des,1.0.2
browserify-rsa,4.0.1
browserify-sign,4.0.4
browserify-zlib,0.2.0
buffer,4.9.1
buffer,5.2.1
buffer-crc32,0.2.13
buffer-indexof,1.1.1
buffer-xor,1.0.3
builtin-status-codes,3.0.0
bytes,3.1.0
cacache,11.3.3
camelcase,5.3.1
chalk,2.4.2
chokidar,2.1.6
chownr,1.1.2
chrome-trace-event,1.0.2
cipher-base,1.0.4
cliui,4.1.0
cliui,5.0.0
color-convert,1.9.3
color-name,1.1.3
colors,1.3.3
columnify,1.5.4
command-exists,1.2.8
commondir,1.0.1
commoner,0.10.8
compress-commons,2.0.0
compressible,2.0.17
compression,1.7.4
compression-webpack-plugin,3.0.0
config-chain,1.1.12
connect-history-api-fallback,1.6.0
console-browserify,1.1.0
constants-browserify,1.0.0
content-disposition,0.5.3
cookie,0.4.0
cookie-parser,1.4.4
copy-concurrently,1.0.5
core,2.35.0-dev.3127.49
core,2.35.0-dev.3282.49
crc,3.8.0
crc32-stream,2.0.0
create-ecdh,4.0.3
create-hash,1.2.0
create-hmac,1.1.7
crypto-browserify,3.12.0
css-loader,3.0.0
cssesc,3.0.0
cyclist,0.2.2
date-now,0.1.4
debug,4.1.1
decompress-response,3.3.0
deep-extend,0.6.0
default-gateway,4.2.0
defaults,1.0.3
del,4.1.1
des.js,1.0.0
detect-file,1.0.0
detect-libc,1.0.3
detect-node,2.0.4
detective,4.7.1
diff,4.0.1
diff2html,2.10.0
diffie-hellman,5.0.3
dns-equal,1.0.0
dns-packet,1.3.1
dns-txt,2.0.2
domain-browser,1.2.0
duplexify,3.7.1
editorconfig,0.15.3
electron-context-menu,0.12.1
electron-dl,1.14.0
electron-is-dev,1.1.0
electron-squirrel-startup,1.0.0
elliptic,6.5.0
emoji-regex,7.0.3
emojis-list,2.1.0
enhanced-resolve,4.1.0
envify,3.4.1
errno,0.1.7
eslint-scope,4.0.3
esprima-fb,15001.1.0-dev-harmony-fb
esrecurse,4.2.1
events,3.0.0
eventsource,1.0.7
evp_bytestokey,1.0.3
execa,1.0.0
expand-template,2.0.3
expand-tilde,2.0.2
express,4.16.4
express,4.17.1
ext-list,2.2.2
ext-name,5.0.0
extract-zip,1.6.7
faye-websocket,0.10.0
faye-websocket,0.11.3
fd-slicer,1.0.1
figgy-pudding,3.5.1
file-loader,4.0.0
finalhandler,1.1.2
find-cache-dir,2.1.0
find-cache-dir,3.0.0
find-up,3.0.0
find-up,4.1.0
findup-sync,3.0.0
floating-point-hex-parser,1.8.5
flush-write-stream,1.1.1
for-in,1.0.2
from2,2.3.0
fs-extra,8.0.1
fs-minipass,1.2.5
fs-write-stream-atomic,1.0.10
fsevents,1.2.9
get-caller-file,1.0.3
get-caller-file,2.0.5
get-stream,4.1.0
github-from-package,0.0.0
glob,7.1.1
global-modules,1.0.0
global-modules,2.0.0
global-prefix,1.0.2
global-prefix,3.0.0
globby,6.1.0
graceful-fs,4.2.0
handle-thing,2.0.0
has-flag,3.0.0
hash-base,3.0.4
hash.js,1.1.7
helper-api-error,1.8.5
helper-buffer,1.8.5
helper-code-frame,1.7.10
helper-code-frame,1.8.5
helper-fsm,1.8.5
helper-module-context,1.8.5
helper-wasm-bytecode,1.7.10
helper-wasm-bytecode,1.8.5
