Name,Version,Need Pedigree Review,Reason,Review Level,License Types,Declared License,License Status,Path
1to2,1.0.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,nan/tools
@carbon/icon-helpers,10.4.0,false,Exempt - Expected license matched,2,Apache-2.0,Apache-2.0,Approved,@carbon/icon-helpers
@carbon/icons-react,10.6.0,false,Exempt - Expected license matched,2,Apache-2.0,Apache-2.0,Approved,@carbon/icons-react
@kui-shell/core,5.2.6,true,New package and not exempt,,Apache-2.0 MIT,Apache-2.0,Approved,@kui-shell/core
@kui-shell/plugin-bash-like,5.2.6,true,New package and not exempt,,Apache-2.0,Apache-2.0,Approved,@kui-shell/plugin-bash-like
@kui-shell/plugin-core-support,5.2.6,true,New package and not exempt,,Apache-2.0,Apache-2.0,Approved,@kui-shell/plugin-core-support
@kui-shell/plugin-editor,5.2.6,true,New package and not exempt,,Apache-2.0,Apache-2.0,Approved,@kui-shell/plugin-editor
@kui-shell/plugin-k8s,5.2.6,true,New package and not exempt,,Apache-2.0,Apache-2.0,Approved,@kui-shell/plugin-k8s
@kui-shell/plugin-kui-addons,0.0.0-semantically-released,true,New package and not exempt,,,,No license information available,@kui-shell/plugin-kui-addons
@kui-shell/plugin-proxy-support,5.2.6,true,New package and not exempt,,Apache-2.0,Apache-2.0,Approved,@kui-shell/plugin-proxy-support
@kui-shell/plugin-search,0.0.0-semantically-released,true,New package and not exempt,,KEYWORD UNKNOWN,ISC,Needs Review,@kui-shell/plugin-search
@kui-shell/proxy,5.2.6,true,New package and not exempt,,Apache-2.0,Apache-2.0,Approved,@kui-shell/proxy
@kui-shell/proxy-webapp,0.0.1,true,New package and not exempt,,Apache-2.0,Apache-2.0,Approved,@kui-shell/proxy/app
@kui-shell/webpack,5.2.6,true,New package and not exempt,,Apache-2.0,Apache-2.0,Approved,@kui-shell/webpack
@my-scope/package-a,0.0.0,false,Previously pedigree reviewed,2,,MIT,Approved | Reference Only,resolve/test/resolver/multirepo/packages/package-a
@my-scope/package-b,0.0.0,false,Previously pedigree reviewed,2,,MIT,Approved | Reference Only,resolve/test/resolver/multirepo/packages/package-b
@types/cookie,0.3.3,false,Exempt - Version closely related to 0.3.2,2,MIT,MIT,Approved,@types/cookie
@types/events,3.0.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,@types/events
@types/glob,7.1.1,false,Previously pedigree reviewed,2,MIT,MIT,Approved,@types/glob
@types/marked,0.6.5,true,New package and not exempt,,MIT,MIT,Approved,@types/marked
@types/minimatch,3.0.3,false,Previously pedigree reviewed,2,MIT,MIT,Approved,@types/minimatch
@types/node,12.11.7,false,Exempt - Expected license matched,2,MIT,MIT,Approved,@types/node
@types/shelljs,0.8.5,true,New package and not exempt,,MIT,MIT,Approved,@types/shelljs
@webassemblyjs/ast,1.7.10,false,Exempt - Expected license matched,2,MIT,MIT,Approved,@webassemblyjs/ast/webassemblyjs-ast-1.7.10.tgz/webassemblyjs-ast-1.7.10.tar/package
@webassemblyjs/ast,1.8.5,false,Exempt - Expected license matched,2,MIT,MIT,Approved,@webassemblyjs/ast
@webassemblyjs/floating-point-hex-parser,1.8.5,false,Exempt - Expected license matched,2,MIT,MIT,Approved,@webassemblyjs/floating-point-hex-parser
@webassemblyjs/helper-api-error,1.8.5,false,Exempt - Expected license matched,2,MIT,MIT,Approved,@webassemblyjs/helper-api-error
