Package,Version,License,Download URL,Copyright
1to2,1.0.0,MIT,,* Copyright (c) 2018 NAN contributors
icon-helpers,10.4.0,Apache-2.0,,
icons-react,10.6.0,Apache-2.0,,
package-a,0.0.0,MIT,,
package-b,0.0.0,MIT,,
cookie,0.3.3,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped,Copyright (c) Microsoft Corporation. All rights reserved.
node,12.11.7,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped,Copyright (c) Microsoft Corporation. All rights reserved.
abbrev,1.1.1,ISC,https://github.com/isaacs/abbrev-js,Copyright (c) Isaac Z. Schlueter and Contributors
accepts,1.3.7,MIT,,Copyright (c) 2014 Jonathan Ong <me@jongleberry.com>
acorn,6.3.0,MIT,https://github.com/acornjs/acorn,Copyright (C) 2012-2018 by various contributors (see AUTHORS)
ajv,6.10.2,MIT,https://github.com/epoberezkin/ajv,Copyright (c) 2015-2017 Evgeny Poberezkin
ansi-colors,3.2.4,MIT,https://github.com/doowb/ansi-colors,Copyright (c) 2015-present- Brian Woodward.
ansi-regex,2.1.1,MIT,https://github.com/chalk/ansi-regex,Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)
ansi-regex,3.0.0,MIT,https://github.com/chalk/ansi-regex,Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)
anymatch,1.3.2,ISC,https://github.com/es128/anymatch,Copyright (c) 2014 Elan Shanker
argparse,1.0.10,MIT,https://github.com/nodeca/argparse,Copyright (C) 2012 by Vitaly Puzrin
arr-diff,2.0.0,MIT,https://github.com/jonschlinkert/arr-diff,Copyright (c) 2014-2015- Jon Schlinkert.
arr-diff,4.0.0,MIT,https://github.com/jonschlinkert/arr-diff,Copyright (c) 2014-2017- Jon Schlinkert
arr-union,3.1.0,MIT,https://github.com/jonschlinkert/arr-union,Copyright (c) 2014-2016- Jon Schlinkert.
array-flatten,1.1.1,MIT,https://github.com/blakeembrey/array-flatten,Copyright (c) 2014 Blake Embrey (hello@blakeembrey.com)
array-unique,0.2.1,MIT,https://github.com/jonschlinkert/array-unique,Copyright (c) 2014-2015- Jon Schlinkert.
array-unique,0.3.2,MIT,https://github.com/jonschlinkert/array-unique,Copyright (c) 2014-2016- Jon Schlinkert
asn1,0.2.4,MIT,https://github.com/joyent/node-asn1,Copyright (c) 2011 Mark Cavage- All rights reserved.
assert-plus,1.0.0,MIT,https://github.com/mcavage/node-assert-plus,Copyright (c) 2012 Mark Cavage
assign-symbols,1.0.0,MIT,https://github.com/jonschlinkert/assign-symbols,Copyright (c) 2015- Jon Schlinkert.
async,1.5.2,MIT,https://github.com/caolan/async,Copyright (c) 2010-2014 Caolan McMahon
async-limiter,1.0.1,MIT,https://github.com/strml/async-limiter,Copyright (c) 2017 Samuel Reed <samuel.trace.reed@gmail.com>
asynckit,0.4.0,MIT,https://github.com/alexindigo/asynckit,Copyright (c) 2016 Alex Indigo
atob,2.1.2,Apache-2.0,https://git.coolaj86.com/coolaj86/atob.js.git,Copyright (c) 2015 AJ ONeal
aws-sign2,0.7.0,Apache-2.0,https://github.com/mikeal/aws-sign,
aws4,1.8.0,MIT,https://github.com/mhart/aws4,Copyright 2013 Michael Hart (michael.hart.au@gmail.com)
axios,0.19.0,MIT,https://github.com/axios/axios,Copyright (c) 2014-present Matt Zabriskie
balanced-match,1.0.0,MIT,https://github.com/juliangruber/balanced-match,Copyright (c) 2013 Julian Gruber &lt;julian@juliangruber.com&gt;
base,0.11.2,MIT,https://github.com/node-base/base,Copyright (c) 2015-2017- Jon Schlinkert.
base64-js,1.3.1,MIT,https://github.com/beatgammit/base64-js,Copyright (c) 2014 Jameson Little
basic-auth,2.0.1,MIT,,Copyright (c) 2013 TJ Holowaychuk
bcrypt-pbkdf,1.0.2,BSD-3-Clause,https://github.com/joyent/node-bcrypt-pbkdf,Copyright 1997 Niels Provos <provos@physnet.uni-hamburg.de> All rights reserved.
bl,3.0.0,MIT,https://github.com/rvagg/bl,Copyright (c) 2013-2018 bl contributors
bluebird,3.7.1,MIT,https://github.com/petkaantonov/bluebird,Copyright (c) 2013-2018 Petka Antonov
brace-expansion,1.1.11,MIT,https://github.com/juliangruber/brace-expansion,Copyright (c) 2013 Julian Gruber <julian@juliangruber.com>
braces,1.8.5,MIT,https://github.com/jonschlinkert/braces,Copyright (c) 2014-2016- Jon Schlinkert.
braces,2.3.2,MIT,https://github.com/micromatch/braces,Copyright (c) 2014-2018- Jon Schlinkert.
buffer-from,1.1.1,MIT,https://github.com/LinusU/buffer-from,Copyright (c) 2016- 2018 Linus Unnebäck
bytes,3.0.0,MIT,https://github.com/visionmedia/bytes.js,Copyright (c) 2012-2014 TJ Holowaychuk <tj@vision-media.ca>
cacache,12.0.3,ISC,https://github.com/npm/cacache,Copyright (c) npm- Inc.
cache-base,1.0.1,MIT,https://github.com/jonschlinkert/cache-base,Copyright (c) 2014-2017- Jon Schlinkert.
camelcase,2.1.1,MIT,https://github.com/sindresorhus/camelcase,Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)
carbon-icons,7.0.7,Apache-2.0,https://github.com/carbon-design-system/carbon-icons,
caseless,0.12.0,Apache-2.0,https://github.com/mikeal/caseless,
chokidar,1.5.2,MIT,https://github.com/paulmillr/chokidar,
chokidar,2.1.8,MIT,https://github.com/paulmillr/chokidar,Copyright (c) 2012-2019 Paul Miller (https://paulmillr.com) & Elan Shanker
chownr,1.1.1,ISC,https://github.com/isaacs/chownr,Copyright (c) Isaac Z. Schlueter and Contributors
chownr,1.1.3,ISC,https://github.com/isaacs/chownr,Copyright (c) Isaac Z. Schlueter and Contributors
class-utils,0.3.6,MIT,https://github.com/jonschlinkert/class-utils,Copyright (c) 2015- 2017-2018- Jon Schlinkert.
classnames,2.2.6,MIT,https://github.com/JedWatson/classnames,Copyright (c) 2017 Jed Watson
cli,1.0.1,MIT,http://github.com/node-js-libs/cli,* Copyright (c) 2010 Chris O'Hara <cohara87@gmail.com>
cliui,3.2.0,ISC,https://github.com/yargs/cliui,Copyright (c) 2015- Contributors
clone,1.0.4,MIT,https://github.com/pvorb/node-clone,Copyright © 2011-2015 Paul Vorbach <paul@vorba.ch>
code-point-at,1.1.0,MIT,https://github.com/sindresorhus/code-point-at,Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)
collection-visit,1.0.0,MIT,https://github.com/jonschlinkert/collection-visit,Copyright (c) 2015- 2017- Jon Schlinkert
combined-stream,1.0.8,MIT,https://github.com/felixge/node-combined-stream,Copyright (c) 2011 Debuggable Limited <felix@debuggable.com>
commander,2.20.3,MIT,https://github.com/tj/commander.js,Copyright (c) 2011 TJ Holowaychuk <tj@vision-media.ca>
component-emitter,1.3.0,MIT,https://github.com/component/emitter,Copyright (c) 2014 Component contributors <dev@component.io>
concat-map,0.0.1,MIT,https://github.com/substack/node-concat-map,
concat-stream,1.6.2,MIT,https://github.com/maxogden/concat-stream,Copyright (c) 2013 Max Ogden
console-control-strings,1.1.0,ISC,https://github.com/iarna/console-control-strings,Copyright (c) 2014- Rebecca Turner
consolidate,0.15.1,MIT,https://github.com/tj/consolidate.js,Copyright (c) 2011-2016 TJ Holowaychuk &lt;tj@vision-media.ca&gt;
content-disposition,0.5.2,MIT,https://github.com/jshttp/content-disposition,Copyright (c) 2014 Douglas Christopher Wilson
content-type,1.0.4,MIT,,Copyright (c) 2015 Douglas Christopher Wilson
cookie,0.3.1,MIT,,Copyright (c) 2012-2014 Roman Shtylman <shtylman@gmail.com>
cookie-signature,1.0.6,MIT,,Copyright (c) 2012 LearnBoost &lt;tj@learnboost.com&gt;
copy-descriptor,0.1.1,MIT,https://github.com/jonschlinkert/copy-descriptor,Copyright (c) 2015-2016- Jon Schlinkert
core-util-is,1.0.2,MIT,https://github.com/isaacs/core-util-is,Copyright Node.js contributors. All rights reserved.
cors,2.8.5,MIT,,Copyright (c) 2013 Troy Goode <troygoode@gmail.com>
cross-spawn,6.0.5,MIT,https://github.com/moxystudio/node-cross-spawn,Copyright (c) 2018 Made With MOXY Lda <hello@moxy.studio>
css-loader,3.2.0,MIT,https://github.com/webpack-contrib/css-loader,Copyright JS Foundation and other contributors
cyclist,1.0.1,MIT,https://github.com/mafintosh/cyclist,Copyright (c) 2015 Mathias Buus
dashdash,1.14.1,MIT,https://github.com/trentm/node-dashdash,Copyright (c) 2013 Trent Mick. All rights reserved.
debug,2.6.9,MIT,,Copyright (c) 2014 TJ Holowaychuk <tj@vision-media.ca>
debug,3.1.0,MIT,https://github.com/visionmedia/debug,Copyright (c) 2014 TJ Holowaychuk <tj@vision-media.ca>
debug,3.2.6,MIT,https://github.com/visionmedia/debug,Copyright (c) 2014 TJ Holowaychuk <tj@vision-media.ca>
decamelize,1.2.0,MIT,https://github.com/sindresorhus/decamelize,Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)
decode-uri-component,0.2.0,MIT,https://github.com/SamVerschueren/decode-uri-component,Copyright (c) Sam Verschueren <sam.verschueren@gmail.com> (github.com/SamVerschueren)
decompress-response,4.2.1,MIT,https://github.com/sindresorhus/decompress-response,Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)
deep-equal,1.1.0,MIT,https://github.com/substack/node-deep-equal,Copyright (c) 2012- 2013- 2014 James Halliday <mail@substack.net>- 2009 Thomas Robinson <280north.com>
define-properties,1.1.3,MIT,https://github.com/ljharb/define-properties,Copyright (C) 2015 Jordan Harband
define-property,0.2.5,MIT,https://github.com/jonschlinkert/define-property,Copyright (c) 2015- Jon Schlinkert.
define-property,1.0.0,MIT,https://github.com/jonschlinkert/define-property,Copyright (c) 2015- 2017- Jon Schlinkert
define-property,2.0.2,MIT,https://github.com/jonschlinkert/define-property,Copyright (c) 2015-2018- Jon Schlinkert.
delayed-stream,1.0.0,MIT,https://github.com/felixge/node-delayed-stream,Copyright (c) 2011 Debuggable Limited <felix@debuggable.com>
delegates,1.0.0,MIT,https://github.com/visionmedia/node-delegates,Copyright (c) 2015 TJ Holowaychuk <tj@vision-media.ca>
depd,1.1.2,MIT,,Copyright (c) 2014-2017 Douglas Christopher Wilson
destroy,1.0.4,MIT,,Copyright (c) 2014 Jonathan Ong me@jongleberry.com
downshift,1.31.16,MIT,https://github.com/paypal/downshift,Copyright (c) 2017 PayPal
dustjs-example-amd,1.0.0,,,
dustjs-example-commonjs,1.0.0,,,
dustjs-example-hoffman,1.0.0,,,
dustjs-example-simple,1.0.0,,,
dustjs-example-streaming,1.0.0,,,
dustjs-example-streaming-incremental,1.0.0,,,
dustjs-linkedin,2.7.5,MIT,http://dustjs.com/,Copyright (c) 2010 Aleksander Williams
