Project,mcm-kui:3.4.0
Directory Scanned,~/Desktop/mcm-kui/awsom-output/node_modules
Date,2019-10-25T20:07:24.819Z
CLI Version,2.2.34
WILD Version,1.0.174
,
Name,Version,Need Pedigree Review,Reason,Review Level,Declared License,License Status,Path,Comments
core,5.2.7,TRUE,New package and not exempt,,Apache-2.0,Approved,@kui-shell/core,https://github.com/IBM/kui,
plugin-bash-like,5.2.7,TRUE,New package and not exempt,,Apache-2.0,Approved,@kui-shell/plugin-bash-like,https://github.com/IBM/kui,
plugin-core-support,5.2.7,TRUE,New package and not exempt,,Apache-2.0,Approved,@kui-shell/plugin-core-support,https://github.com/IBM/kui,
plugin-editor,5.2.7,TRUE,New package and not exempt,,Apache-2.0,Approved,@kui-shell/plugin-editor,https://github.com/IBM/kui,
plugin-k8s,5.2.7,TRUE,New package and not exempt,,Apache-2.0,Approved,@kui-shell/plugin-k8s,https://github.com/IBM/kui,
plugin-kui-addons,0.0.0-semantically-released,TRUE,New package and not exempt,,,No license information available,@kui-shell/plugin-kui-addons,,
plugin-proxy-support,5.2.7,TRUE,New package and not exempt,,Apache-2.0,Approved,@kui-shell/plugin-proxy-support,https://github.com/IBM/kui,
plugin-search,0.0.0-semantically-released,TRUE,New package and not exempt,,ISC,Needs Review,@kui-shell/plugin-search,,
proxy,5.2.7,TRUE,New package and not exempt,,Apache-2.0,Approved,@kui-shell/proxy,https://github.com/IBM/kui,
webpack,5.2.7,TRUE,New package and not exempt,,Apache-2.0,Approved,@kui-shell/webpack,https://github.com/IBM/kui,
marked,0.6.5,TRUE,New package and not exempt,,MIT,Approved,@types/marked,https://github.com/DefinitelyTyped/DefinitelyTyped,
shelljs,0.8.5,TRUE,New package and not exempt,,MIT,Approved,@types/shelljs,https://github.com/DefinitelyTyped/DefinitelyTyped,
ansi-to-html,0.6.11,TRUE,New package and not exempt,,MIT,Approved,ansi-to-html,https://github.com/rburns/ansi-to-html,
carbon-components,10.7.2,TRUE,New version and not exempt,,Apache-2.0,Needs Review | Needs Legal Approval,carbon-components,https://www.carbondesignsystem.com/,
carbon-components-react,7.7.2,TRUE,New version and not exempt,,Apache-2.0,Approved,carbon-components-react,,
colors,1.4.0,TRUE,New version and not exempt,,MIT,Needs Review,colors,https://github.com/Marak/colors.js,
graphql,14.5.8,TRUE,New version and not exempt,,MIT,Approved,graphql,https://github.com/graphql/graphql-js,
http-proxy,1.18.0,TRUE,New version and not exempt,,MIT,Needs Review,http-proxy,https://github.com/http-party/node-http-proxy,
ibm-cos-sdk,1.5.3,TRUE,New version and not exempt,,Apache-2.0,Needs Review,ibm-cos-sdk,https://github.com/ibm/ibm-cos-sdk-js,
iltorb,2.4.4,TRUE,New package and not exempt,,MIT,Needs Review,iltorb,https://github.com/MayhemYDG/iltorb,
is-arguments,1.0.4,TRUE,New package and not exempt,,MIT,Approved,is-arguments,https://github.com/ljharb/is-arguments,
node-pty-prebuilt-multiarch,0.9.0,TRUE,New package and not exempt,,MIT,Approved,node-pty-prebuilt-multiarch,https://github.com/oznu/node-pty-prebuilt-multiarch,
react,16.11.0,TRUE,New version and not exempt,,MIT,Approved,react,https://reactjs.org/,
react-dom,16.11.0,TRUE,New version and not exempt,,MIT,Approved,react-dom,https://reactjs.org/,
tar-stream,2.1.0,TRUE,New version and not exempt,,MIT,Approved,tar-stream,https://github.com/mafintosh/tar-stream,
terser,4.3.9,TRUE,New version and not exempt,,BSD-2-Clause,Needs Review,terser,https://terser.org,
webpack,4.40.2,TRUE,New version and not exempt,,MIT,Approved,webpack,https://github.com/webpack/webpack,
xterm,3.14.5,TRUE,New version and not exempt,,MIT,Needs Legal Approval,xterm,https://github.com/xtermjs/xterm.js,
yargs-parser,14.0.0,TRUE,New version and not exempt,,ISC,Approved,yargs-parser,https://github.com/yargs/yargs-parser,
