Name,Version,Need Pedigree Review,Reason,Review Level,License Types,Declared License,License Status,Path,Short Name,Previously Declared,Repository URL,Copyright
1to2,1.0.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,nan/tools,1to2,,,* Copyright (c) 2018 NAN contributors
@kui-shell/proxy-webapp,0.0.1,true,New package and not exempt,,Apache-2.0,Apache-2.0,Approved,@kui-shell/proxy/app,proxy-webapp,,,* Copyright 2019 IBM Corporation
@my-scope/package-a,0.0.0,false,Previously pedigree reviewed,2,,MIT,Approved | Reference Only,resolve/test/resolver/multirepo/packages/package-a,package-a,,,
@my-scope/package-b,0.0.0,false,Previously pedigree reviewed,2,,MIT,Approved | Reference Only,resolve/test/resolver/multirepo/packages/package-b,package-b,,,
@types/events,3.0.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,@types/events,events,,https://github.com/DefinitelyTyped/DefinitelyTyped,Copyright (c) Microsoft Corporation. All rights reserved.
@types/glob,7.1.1,false,Previously pedigree reviewed,2,MIT,MIT,Approved,@types/glob,glob,,https://github.com/DefinitelyTyped/DefinitelyTyped,Copyright (c) Microsoft Corporation. All rights reserved.
@types/minimatch,3.0.3,false,Previously pedigree reviewed,2,MIT,MIT,Approved,@types/minimatch,minimatch,,https://github.com/DefinitelyTyped/DefinitelyTyped,Copyright (c) Microsoft Corporation. All rights reserved.
@webassemblyjs/ast,1.7.10,false,Exempt - Expected license matched,2,MIT,MIT,Approved,@webassemblyjs/ast/webassemblyjs-ast-1.7.10.tgz/webassemblyjs-ast-1.7.10.tar/package,ast,,,Copyright (c) 2018 Sven Sauleau <sven@sauleau.com>
@webassemblyjs/ast,1.8.5,false,Exempt - Expected license matched,2,MIT,MIT,Approved,@webassemblyjs/ast,ast,,https://github.com/xtuc/webassemblyjs,Copyright (c) 2018 Sven Sauleau <sven@sauleau.com>
@webassemblyjs/floating-point-hex-parser,1.8.5,false,Exempt - Expected license matched,2,MIT,MIT,Approved,@webassemblyjs/floating-point-hex-parser,floating-point-hex-parser,,https://github.com/xtuc/webassemblyjs,Copyright (c) 2017 Mauro Bringolf
